batch,sheet,sku,name,table_discount_price,table_shipping,stock,net_weight_lbs,gross_weight_lbs,child_combo,combo_box_count,is_combo,shipping_source
B3,107系列,W714S02105,,232.2,76.82,26.0,92.0,106.0,W714P541724*1 | W714P541741*1,2,True,excel_table
B3,107系列,W714S02106,,302.72,96.2,26.0,114.0,134.0,W714P541724*1 | W714P541741*1 | W714P541785*1,3,True,excel_table
B3,107系列,W714S02107,,373.24,148.56,20.0,136.0,162.0,W714P541724*1 | W714P541741*1 | W714P541785*2,4,True,excel_table
B3,107系列,W714S02108,,325.94,112.69,26.0,130.0,150.0,W714P541724*1 | W714P541752*1 | W714P541741*1,3,True,excel_table
B3,107系列,W714S02109,,396.46,132.07,26.0,152.0,178.0,W714P541724*1 | W714P541752*1 | W714P541741*1 | W714P541785*1,4,True,excel_table
B3,107系列,W714P541724,,116.1,38.41,26.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541741,,116.1,38.41,26.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541752,,93.74,35.87,28.0,38.0,44.0,,1,False,excel_table
B3,107系列,W714P541785,,70.52,19.38,40.0,22.0,28.0,,1,False,excel_table
B3,107系列,W714S02096,,232.2,76.82,30.0,92.0,106.0,W714P541738*1 | W714P541745*1,2,True,excel_table
B3,107系列,W714S02150,,302.72,96.2,30.0,114.0,134.0,W714P541738*1 | W714P541745*1 | W714P541830*1,3,True,excel_table
B3,107系列,W714S02098,,373.24,148.56,23.0,136.0,162.0,W714P541738*1 | W714P541745*1 | W714P541830*2,4,True,excel_table
B3,107系列,W714S02099,,325.94,112.69,30.0,130.0,150.0,W714P541738*1 | W714P541756*1 | W714P541745*1,3,True,excel_table
B3,107系列,W714S02100,,396.46,132.07,30.0,152.0,178.0,W714P541738*1 | W714P541756*1 | W714P541745*1 | W714P541830*1,4,True,excel_table
B3,107系列,W714P541738,,116.1,38.41,30.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541745,,116.1,38.41,30.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541756,,93.74,35.87,38.0,38.0,44.0,,1,False,excel_table
B3,107系列,W714P541830,,70.52,19.38,46.0,22.0,28.0,,1,False,excel_table
B3,107系列,W714S02087,,232.2,76.82,34.0,92.0,106.0,W714P541739*1 | W714P541747*1,2,True,excel_table
B3,107系列,W714S02088,,302.72,96.2,34.0,114.0,134.0,W714P541739*1 | W714P541747*1 | W714P541833*1,3,True,excel_table
B3,107系列,W714S02089,,373.24,148.56,24.0,136.0,162.0,W714P541739*1 | W714P541747*1 | W714P541833*2,4,True,excel_table
B3,107系列,W714S02090,,325.94,112.69,34.0,130.0,150.0,W714P541739*1 | W714P541781*1 | W714P541747*1,3,True,excel_table
B3,107系列,W714S02091,,396.46,132.07,34.0,152.0,178.0,W714P541739*1 | W714P541781*1 | W714P541747*1 | W714P541833*1,4,True,excel_table
B3,107系列,W714P541739,,116.1,38.41,34.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541747,,116.1,38.41,34.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541781,,93.74,35.87,46.0,38.0,44.0,,1,False,excel_table
B3,107系列,W714S02078,,232.2,76.82,30.0,92.0,106.0,W714P541740*1 | W714P541748*1,2,True,excel_table
B3,107系列,W714S02079,,302.72,96.2,30.0,114.0,134.0,W714P541740*1 | W714P541748*1 | W714P541835*1,3,True,excel_table
B3,107系列,W714S02151,,373.24,148.56,22.0,136.0,162.0,W714P541740*1 | W714P541748*1 | W714P541835*2,4,True,excel_table
B3,107系列,W714S02081,,325.94,112.69,30.0,130.0,150.0,W714P541740*1 | W714P541784*1 | W714P541748*1,3,True,excel_table
B3,107系列,W714S02082,,396.46,132.07,30.0,152.0,178.0,W714P541740*1 | W714P541784*1 | W714P541748*1 | W714P541835*1,4,True,excel_table
B3,107系列,W714P541740,,116.1,38.41,30.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541748,,116.1,38.41,30.0,46.0,53.0,,1,False,excel_table
B3,107系列,W714P541784,,93.74,35.87,40.0,38.0,44.0,,1,False,excel_table
B3,107系列,W714P541835,,70.52,19.38,45.0,22.0,28.0,,1,False,excel_table
